comments,label,text,processed_comments,processed_newstitle,labels
3명중에 최종훈이 제일 잘생겼네요♡,none,"""""""정준영 몰카 말렸다""""던 승리, 불법 촬영물 유포 혐의 추가 입건..논란ing(종합)[Oh!쎈 이슈]""
",3명 중에 최종훈 제일 잘생겼네요,정준영 몰카 말렸다 던 승리 불법 촬영물 유포 혐의 추가 입건 논란 ing종합oh쎈 이슈,0.0
"3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!",none,"""‘히든싱어5’ 원조가수 홍진영, 걸그룹 출신 지나유 꺾고 최종우승 [종합]""
",3번으로 탈락을 면 했군 이제 술수를 부리지 말라티가 난다,히든싱어5 원조가 수 홍진영 걸그룹 출신 지나 유 꺾고 최종 우승 종합,0.0
3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.,none,"""'이틀만에 12억 매출' 염따 후드티, 대체 어떤 옷이길래""
",3일에 12억원 어치 파급력 있는 사람입니다 다들 조롱만 하나요 잘 알지 못한다면 더더욱 함부로 말하면 안 되죠,이틀 만에 12억 매출 염 따 후드티 대체 옷이 길래,0.0
40-50대로 가야지..할매를 부르면 우야노,hate,"[종합] '불타는 청춘' 대선배 이경진 등장에 '바짝 긴장'
",4050대로 가야지할매를 부르면 우야노,종합 불타는 청춘 대선배 경진 등장에 바짝 긴장,2.0
40대 아줌마 지들 자식들은 피씨방에 있고 엄마들은 방탄 동영상 처보고 있다고 생각해봐라 그래놓고 경포대 문재인 아몰랑 지지하고 어후 토나와,hate,"""‘골든디스크’ 방탄소년단, 2년연속 음반대상 ‘4관왕’..""""팀이름 자랑스러워""""[종합]""
",40대 아줌마 지들 자식들은 피씨방에 있고 엄마들은 방탄 동영상 처보고 있다고 생각해봐라 그래놓고 경포대 문재인 아몰랑 지지하고 후 토나와,골든디스크 방탄소년단 2년 연속 음반 대상 4관왕 팀 이름 자랑스러워종합,2.0
40대 아줌마들 댓글비율좀봐....,offensive,"""장동윤, 운명적 배우 데뷔→인생작 '녹두전' 만나기까지(종합)""
",40대 아줌마들 댓글 비율,장동윤 운명적 배우 데뷔인생작 녹두전 만나기까지 종합,1.0
40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;,hate,"""'알함브라궁전의 추억' 현빈, 말없이 그라나다 떠났다..박신혜 폭풍눈물[종합]""
",40대 여자들이 나이값 못하고 현빈 멋있다고 하악하악 거리는 거 개극 혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉 측한 얼굴을 보고 반성하길 바람,알함브라 궁전의 추억 현빈 말 없이 그라나 다 떠났다박신혜 폭풍 눈물종합,2.0
40대 이모라 집중이 안됨... 20살 초반으로좀 캐스팅좀 ㅠㅜㅠㅜ,offensive,"""'황후의 품격' 신성록, 이엘리야 거짓말 눈치챘다…장나라X최진혁 포옹에 '충격'(종합)""
",40대 이모라 집중이 안 됨 20살 초반으로 캐스팅 ㅠㅜㅠㅜ,황후의 품격 신성록 엘리야 거짓말 눈치챘다 장나라 x 최진혁 포옹에 충격종합,1.0
40대늙은이 32% 돌아이련들...쯧쯧쯧,hate,"""방탄소년단, 역사 또 썼다…'BTS 떼창' 끌어낸 美 스타디움 공연""
",40대 늙은 32 돌아 이련들쯧쯧쯧,방탄소년단 역사 썼다bts 떼창 끌어낸 美 스타디움 공연,2.0
40살에 폐경에 다리까지 노답이라이 ㅋㅋㅋ,hate,"""[단독] 김사랑, 이탈리아 여행 중 추락사고…현재 응급 치료 중""
",40살에 폐경에 다리까지 노답이라 ㅋㅋㅋ,단독 김사랑 이탈리아 여행 중 추락사고현재 응급 치료 중,2.0
40살여자랑 로맨스 ㅋㅋ별로다,offensive,"""[단독] 軍 입대 전 마지막 작품?…이종석, 차기작 '영거' 유력""
",40살 여자랑 로맨스 ㅋㅋ 별로다,단독 軍 입대 전 마지막 작품이종석 차기작 영거 유력,1.0
40세 이상 한녀들은 임신도 못하는 사실상 쓸모없는 분리수거 대상,hate,"""""""母도 정신적 충격""""…구혜선, 안재현 '뒷담화→주취상태서 여성들과 긴밀 연락' 주장 [종합]""
",40세 한녀들은 임신도 못하는 사실상 쓸모 없는 분리수거 대상,母도 정신적 충격 구혜선 안 재현 뒷담화주취 상태서 여성들과 긴밀 연락 주장 종합,2.0
40이다 상관 없다는 넘들 애들이군,offensive,"""송혜교, 인형이 나타났다…긴머리로 리즈 경신""
",40이 다 상관 없다는 넘들 애들이군,송혜교 인형이 나타났다 긴 머리로 리즈 경신,1.0
43.1 이라 .. 행복해서 살쪘다는걸 보여주고싶은건가? 아니면 임...신?,offensive,"이던♥→계약해지→43kg 체중..현아의 모든 것이 '핫이슈' (종합)[Oh!쎈 이슈]
",431 이라 행복해서 살쪘다는 걸 보여주고 싶은 건가 임신,이던 계약 해지43kg 체중현아의 모든 것이 핫이슈 종합oh쎈 이슈,1.0
45가 정상인가? 애들이 따라할까 무섭다,offensive,"""“52kg→45kg 감량” 박혜경, 다이어트는 최고의 성형[SNS★컷]""
",45가 정상인가 애들이 할까 무섭다,52kg 45kg 감량 박혜경 다이어트는 최고의 성형sns 컷,1.0
"45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ",none,"""‘TV는 사랑을 싣고’ 김범룡, 45억 빚 청산 후 찾은 첫사랑 ‘국사 선생님과 재회’[어저께TV]""
",45억 빚진 것도 신기하고 빚을 이미 완전 인기가 저물어도 만에 갚는다는 게 더 신기하다 홍진영 애들은 1년에 번다는 거야 ㅋㅋ,tv는 사랑을 싣고 김범룡 45억 빚 청산 후 찾은 첫사랑 국사 선생님과 재회 어저께 tv,0.0
47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ,none,"""‘냉부해’ 한상진, 47kg 감량→꾸준히 1일 1식→“감동적인 요리 감사”[종합]""
",47kg면 내 몸무겐데 난 소멸되겠다ㅎㅎ,냉부해 한상진 47kg 감량 꾸준히 1일 1식감동적인 요리 감사종합,0.0
47살에 출산?,offensive,"""[단독]‘임신중’ 최지우 ‘사랑의 불시착’ 특별출연 확정, “내일(20일) 촬영”""
",47살에 출산,단독임신중 최지우 사랑의 불 시착 특별출연 확정 내일20일 촬영,1.0
4년전정준영카톡이 이게 이렇게 큰일이냐?ㅋ 더럽네정말.. 누가봐도 꼬리짜르기구만,offensive,"""경찰, 정준영 자택 '뒤늦은 압수수색'...3년 전과 다른 결과 낼까 [종합]""
",4년 전 정준영 카톡이 이게 이렇게 큰일이냐ㅋ 더럽네 정말 누가 봐도 꼬리 짜르기구만,경찰 정준영 자택 뒤늦은 압수수색3년 전과 결과 낼까 종합,1.0
4억 장윤정에게는 껌값일텐데 비정한딸,offensive,"""장윤정 모친 ‘4억원 사기 혐의’ 구속…육씨, “돈은 빌렸지만 사기는 아냐”""
",4억 장윤정에게는 껌값일 텐데 비정한 딸,장윤정 모친 4억원 사기 혐의 구속육씨 돈은 빌렸지만 사기는 아냐,1.0
52도 빼야되냐,none,"""“52kg→45kg 감량” 박혜경, 다이어트는 최고의 성형[SNS★컷]""
",52도 빼야 되냐,52kg 45kg 감량 박혜경 다이어트는 최고의 성형sns 컷,0.0
52면 날씬한건데..,none,"""“52kg→45kg 감량” 박혜경, 다이어트는 최고의 성형[SNS★컷]""
",52면 날씬한 건데,52kg 45kg 감량 박혜경 다이어트는 최고의 성형sns 컷,0.0
52키로 딱 좋앙~~~,none,"""“52kg→45kg 감량” 박혜경, 다이어트는 최고의 성형[SNS★컷]""
",52 키로 좋앙,52kg 45kg 감량 박혜경 다이어트는 최고의 성형sns 컷,0.0
52퍼 되는 여자들 강한나 테러하네 ㅋㅋ 그만들 하세요 님들 너무 추해 보임,hate,"[DA:리뷰] 강한나 드레스 다시봐도 파격→“동명이인 논란 아직도 오해” (종합)
",52퍼 되는 여자들 강한나 테러 하네 ㅋㅋ 만들 하세요 님들 너무 추해 보임,da 리뷰 강 한 드레스 다시 봐도 파격동명이인 논란 아직도 오해 종합,2.0
53살 아빠면 어때 아빠가 곽부성인데.... 축하해요,none,"""'53세' 곽부성, 둘째 얻었다…23살 연하 아내 출산[룩@차이나]""
",53살 아빠면 아빠가 곽부성인데 축하해요,53세 곽부성 둘째 얻었다23살 연하 아내 출산룩차 이나,0.0
5명이랑 관계하면 거기 아플텐데... 누구말이 맞는건지.. 에휴,offensive,"""최종훈, 집단 성폭행 의혹…""""동석했지만 성관계 NO"""" [종합]""
",5명이랑 관계하면 거기 아플 텐데 말이 맞는 건지,최종훈 집단 성폭행 의혹 동석했지만 성관계 no 종합,1.0
"60만원으로 무슨 5억 피해입은 마냥 폭로하는 놈도 그렇고, 60만원을 안 갚고 쌩깠던 매니저 놈도 그렇고.. 참 안습이다.. 인간들 요즘 왜 그런지 참 ㅉㅉ... 신상털기, 먼지털기가 인생 낙인갑다..",none,"""이승윤 매니저 강현석 “채무관계 인정, 당사자 만나 사과할 것”(전문)""
",60만원으로 5억 피해 입은 마냥 폭로하는 놈도 그렇고 60만원을 안 갚고 쌩깠던 매니저 놈도 그렇고 안습이다 인간들 요즘 그런지 ㅉㅉ 신상털기 먼지 털기가 인생 낙인 갑다,이승윤 매니저 강현석 채무관계 인정 당사자 만나 사과할 것전문,0.0
60에서 14면티가나는데 120에서 14면 흠,none,"""'예비신부' 홍윤화, 폭풍 다이어트 돌입…""""체중 14kg 감량""""""
",60에서 14면티가 나는데 120에서 14면 흠,예비신부 홍윤화 폭풍 다이어트 돌입 체중 14kg 감량,0.0
68%의 아줌마들아. 니들 자식들한테 고운말 하라고 가르치냐? 니들 댓글 모음이나 자식들 보여줘라,offensive,"""[주간 연예법정⑥] '도박 논란' 슈 변호인 """"작업당한 빚…6억 변제 의무 없다""""""
",68의 아줌마들아 니들 자식들한테 고운 말 하라고 가르치냐 니들 댓글 모음이나 자식들 보여줘라,주간 연예법정⑥ 도 박 논란 슈 변호인 작업당한 빚 6억 변제 무 없다,1.0
6명이서 그깟 20년 한거가지고 참 ㅋㅋㅋㅋㅋㅋㅋㅋ강필주는 혼자 20년 기다리고 참아왔다..,offensive,"""[★타임워프] '데뷔 20주년' 신화, 소년은 어떻게 전설이 되었나""
",6명이 서 그깟 20년 한 거가지고 ㅋㅋㅋㅋㅋㅋㅋㅋ 강필주는 20년 기다리고 참아왔다,타임 워프 데뷔 20주년 신화 소년은 전설이 되었나,1.0
6명전부 별론데 그나마 저중에 문희준이 제일 인기많았고 돈 많이 벌었고,offensive,"""[Oh!쎈 이슈] 문희준♥소율→최민환♥율희→P군♥유민, 아이돌 3호 부부 탄생(종합)""
",6명 별론데 그나마 중에 문희준이 제일 인기 많았고 돈 많이 벌었고,oh쎈 이슈 문희준 소율최민환 율희p군 유민 아이돌 3호 부부 탄생종합,1.0
6월 29일 전미선에 이어 7월 31일 박일 성우님... 올해 몇번째 연예계 비보가 내려오는 거죠?,none,"""[종합] 김민경 남동생, 9일 사망 비보→애도·위로 물결…'맛녀석' """"정상 방송""""""
",6월 29일 전미선에 이어 7월 31일 박 성우님 올해 번째 연예계 비보가 내려오는 거죠,종합 김민경 남동생 9일 사망 비보애도위로 물결 맛녀석 정상 방송,0.0
75% 여성비율 30대 37% ㅎㄷㄷ 능력있는 한국남성분들 국제결혼이 답입니다. 일본여자 노려보세요,offensive,"""[SC이슈] """"열애NO"""" 박서준X박민영, '김비서' ♥케미→열애설 해프닝(종합)""
",75 여성비율 30대 37 ㅎㄷㄷ 능력 있는 한국 남성분들 국제결혼이 답입니다 일본 여자 노려보세요,sc 이슈 열애 no 박서준 x박민영 김 비서 케미 열애설 해프닝종합,1.0
79년생 하하 아직도 초딩캐릭터 아냐? 김종민도 그렇고 어른 이미지로 가는거 별로 안좋아할텐데,none,"""'불청' 이기찬, 41세 新막내 등장 """"조하나 만나고 싶었다"""" (ft.최민용 타령) [종합]""
",79년생 아직도 초딩 캐릭터 아냐 김종민도 그렇고 어른 이미지로 가는 거 별로 안 좋아할 텐데,불청 이기찬 41세 新막내 등장 조하나 만나고 싶었다 ft최민용 타령 종합,0.0
82년생김지영이는 못나오나보네 ㅋㅋㅋㅋ,offensive,"""'불청' 이기찬, 41세 新막내 등장 """"조하나 만나고 싶었다"""" (ft.최민용 타령) [종합]""
",82년생 김지영이는 못 나오나 보네 ㅋㅋㅋㅋ,불청 이기찬 41세 新막내 등장 조하나 만나고 싶었다 ft최민용 타령 종합,1.0
82키로 김지영 왜보냐...? 저런 쓰레기 영화 안봄 ㅋ,hate,"""[POP초점]""""관점의 차이""""..정유미X공유, '82년생 김지영' 논란에 드러낸 소신""
",82 키로 김지영 보냐 저런 쓰레기 영화 안 봄 ㅋ,pop 초점관점의 차이정유미 x공유 82년생 김지영 논란에 드러낸 소신,2.0
90년대일을 이제와서 웨꺼내구 그러시는지 사실맞는지두 확인안되구 참,none,"""[SC초점] '연락두절' 오달수·'미국行' 조근현, 성추문 언제쯤 입 열까?""
",90년대 일을 이제와서 웨꺼 내구 그러시는 지 사실 맞는지 두 확인 안되구,sc초점 연락두절 오달수 미국行 조근현 성추문 언제쯤 입 열까,0.0
9살 딸이 지금까지 본 주말 드라마 중에 제일 재미없어!!하고 끄고 양치하고 잠.. 새나라의 어린이로 만들어주는 드리마.. 최수종배우님 죄송ㅜㅜ,offensive,"""[종합] '하나뿐인 내편' 유이, 이두일 죽고 쫓겨났다…최수종 우연 재회""
",9살 딸이 지금까지 본 주말 드라마 중에 제일 재미없어하고 끄고 양치하고 잠 새나라의 어린이로 만들어주는 드리마 최수종 배우님 죄송ㅜㅜ,종합 하나뿐인 내 편 유이 두 죽고 쫓겨났다 최수종 우연 재회,1.0
? 대세배우 ?,none,"""'SKY캐슬'→'사이코메트리 그녀석'...조병규, 대세 배우로 '우뚝' [종합]""
",대 세 배우,sky캐슬 사이코메트리 녀석 조병규 대세 배우로 우뚝 종합,0.0
? 여태껏 동거한거에요?,offensive,"""[단독]추자현♥우효광, 29일 정식 결혼식…아들 돌잔치도 함께 '겹경사'""
",여태껏 동거한 거에요,단독추자현 우효광 29일 정식 결혼식 아들 돌잔치도 겹경사,1.0
???그냥 눈화장 색이 변한거 같은데.. 뭐가 달라진거죠??톤만 좀 연해진거 같은데..,none,"""이다해, 달라진 얼굴 분위기..화장 때문? 어플 때문?[★SNS]""
",그냥 눈 화장 색이 변한 거 같은데 뭐가 달라진 거죠톤만 연해진 거 같은데,이다해 달라진 얼굴 분위기 화장 때문 어플 때문 sns,0.0
B급 가수.. 가수라 하기도 애매하다,offensive,"""'1대100' 예은 """"전교 8등, 차에서 공부했지만 법대 수시→면접 탈락""""""
",b급 가수 가수라 하기도 애매하다,1대100 예은 전교 8등 차에서 공부했지만 법대 수시면접 탈락,1.0
Edm 천재 박명.수,none,"""“팀, 편히 잠들길”…‘28세’ 아비치 요절…슬픔에 빠진 해외 ★ [종합]""
",edm 천재 박명수,팀 편히 잠들길 28세 아비치 요절 슬픔에 빠진 해외 종합,0.0
Ft아일랜드 이홍기 원맨쇼지 ㅋㅋㅋ 나머지 멤버 무쓸모,offensive,"""이홍기, 최종훈팬 댓글에 '사이다' 응답 """"잘먹고 잘잔다""""""
",ft아일랜드 홍기 원맨쇼지 ㅋㅋㅋ 나머지 멤버 무쓸모,이홍기 최종훈 팬 댓글에 사이다 응답 잘 먹고 잘 잔다,1.0
HOT 팬들은 사람죽일 정도로 극성이였다든데,hate,"""토니안, H.O.T. 재결합 무대 소감 """"정말 행복한 시간""""""
",hot 팬들은 사람 죽일 정도로 극성이였다든 데,토니안 hot 재결합 무대 소감 정말 행복한,2.0
JTBC 는 좌빨 방송인데. 이래서 여자들이 문재앙 좋아하나?,hate,"""‘SKY 캐슬’ 김보라 추락, 캐슬에 불러올 파장은?""
",jtbc 는 좌빨 방송인데 이래서 여자들이 문재앙,sky 캐슬 김보라 추락 캐슬에 불러올 파장은,2.0
